,Query,DocID,Title,Snippets (mc),Snippets (mi),Expanded (mc),Expanded (mi),Classified (mc),Classified (mi),Sample Expanded,Sample Classified
0,Arbitration ,133653680,M/S Duro Felguera S.A vs M/S. Gangavaram Port Limi,13,0,13,0,8,0,"(b) the contents of the disclosure and other considerations as are
                       likely to secure the appointment of an independent and
                       impartial arbitrator.]",Yes
1,Arbitration ,81257869,Gurinder Singh Sethi vs M/S Sagar Fossil Fuel Tech,1,0,1,0,0,0,"3.    The parties had also simultaneously entered into another Agreement
                         for letting out fixtures and fittings at a rent of â¹22,000/- per month. The
                         petitioner alleges that the respondents have failed to pay the rent/hire
                         charges in terms of the Lease Agreement as well as the Agreement for Hire
                         of Fixtures and Fittings.",No
2,Arbitration ,9193128,Pure Diets India Limited vs Lokmangal Agro Industr,2,0,2,0,0,0,"4.    Petitioner asserts that it terminated the Agreement on
                          29.09.2019 on account of breach of the exclusivity clause by the
                          Respondent. Notice dated 07.08.2022 was issued by the Petitioner,
                          invoking Clause 15.7 of the Agreement dated 18.08.2017 seeking
                          reference of the disputes to arbitration.",No
3,Arbitration ,133653680,M/S Duro Felguera S.A vs M/S. Gangavaram Port Limi,13,0,13,0,8,0,"(b) the contents of the disclosure and other considerations as are
                       likely to secure the appointment of an independent and
                       impartial arbitrator.]",Yes
4,Privacy,12972852,My Space Inc. vs Super Cassettes Industries Ltd. o,1,0,1,0,1,0,"42.    The concept of intermediaries attains more significance in the context of Section
79, which provides safe harbor to intermediaries in India subject to certain terms
enunciated thereunder. This court is conscious that a significant amendment to this
provision took place in 2008; the Information Technology Amendment Act was brought
into force on 5 February, 2009. However, that amendment brought in greater clarity to the
nature of duty and the circumstances whereby intermediaries could be held liable. It is
therefore, relevant in the present case, as it covers the greater part of the period in these
proceedings. Section 79 provides intermediaries exemption from liability for any third
party information, data or communication link made available or hosted by it. Section 79
reads as under:

       ""79.       Exemption from liability of intermediary in certain cases.-",Yes
5,Privacy,69052901,Naresh Trehan vs Rakesh Kumar Gupta on 24 November,2,0,2,0,0,0,"7.       The respondent contended:-

7.1      that he is an informer with the income tax department and sought the
information in public interest in order to recover the tax evaded by the
petitioners, to recover the properties mis-appropriated by the petitioners and
to curb corruption and therefore, the exemptions provided under Section
8(1)(e) and (j) of the Act are not applicable.

W.P.(C) Nos. 85/2010 & other connected matters                      Page 6 of 29
 7.2      that the bank details and tax details should be given to public, where
prima facie wrong doing is detected by the government. Reliance was
placed on Ram Jethmalani & Ors. v. Union of India: (2011) 8 SCC 1.

7.3      that the activities performed by the income tax department are public
in nature and the income tax records are public documents. Reliance was
placed on Bhagat Singh v. Chief Information Commissioner and Ors.:
146 (2008) DLT 385.

7.4      that the disclosure of information under Section 3 of the Act is the
rule and exemption under Section 8 of the Act is the exception.",No
6,Privacy,80759470,Kamal Bhasin vs Radha Krishna Mathur & Anr. on 1 N,2,0,2,0,1,0,"5.      The learned counsel appearing for respondent no.2 submitted that the



W.P. (C) 7218/2016                                                       Page 3 of 7
 complaints had been placed before the Group of Officers and a decision had
been taken to follow the advice for initiating disciplinary proceedings. He
stated that as to what happened thereafter is not available with respondent
no.2. He also referred to the decision of the Supreme Court in Girish
Ramchandra Deshpande (Supra) and stated that memos, show-cause
notices and censure/punishment awarded by an employer to his employee is
a matter of 'personal information' and is, therefore, exempt from disclosure
under Section 8(1)(j) of the Act. In the facts of the present case, the reliance
placed on the decision in the case of Girish Ramchandra Deshpande
(supra) is misplaced. In that case the petitioner had sought various details
regarding an officer (respondent no.3 therein) who was employed as an
Enforcement Officer in the Sub-Regional Office, Akola. The information
sought included the details of his appointment, salary, information regarding
his promotion, show cause notice and censure issued to him, copies of his
income tax returns, assets and liabilities etc. A bare perusal of the
information sought clearly indicated that disclosure of such information
would be a serious invasion to the privacy of the employee concerned. It is
in this context that the Supreme Court held as under:-

            ""12. We are in agreement with the CIC and the courts below
            that the details called for by the petitioner i.e. copies of all
            memos issued to the third respondent, show cause notices
            and orders of censure/punishment etc. are qualified to be
            personal information as defined in clause (j) of Section 8(1)
            of the RTI Act. The performance of an employee/officer in
            an organization is primarily a matter between the employee
            and the employer a",Yes
7,Privacy,70139862,"R.K.Jain vs Union Of India & Anr on 16 April, 2013",4,0,4,0,2,0,"      The appellant filed  an  application  to  Central  Public  Information
Officer (hereinafter referred to as the  ‘CPIO’)  under  Section  6  of  the
Right to Information Act, 2005 (hereinafter referred to as  the  ‘RTI  Act’)
on  7th  October,  2009  seeking  the  copies  of  all   note   sheets   and
correspondence  pages  of  file  relating  to  one  Ms.  Jyoti  Balasundram,
Member/CESTAT. The Under Secretary, who is the CPIO denied  the  information
by impugned  letter  dated  15th  October,  2009  on  the  ground  that  the
information sought  attracts Clause 8(1)(j) of the RTI Act,  which reads  as
follows:-
",Yes
8,force majeure,1716913,"Century Textiles And Industries Ltd., ... vs Mahar",8,0,8,0,7,0,"2. Prior To 1st  July, 1980, the company was receiving electrical energy at its divisions known as ""Century Rayon, Rayon Division Century   Rayon Tyre Cord Division and Century Chemicals Divisions"" situate at Shahad, Dist.  Thane,  from the Tata Electric Supply Company Ltd. As and form the  midnight of 30th June/ 1st July 1980, the supply of electrical energy to certain areas which was being supplied by  the Tate Electric Supply Company Ltd. was taken over by the  Maharshtra State Electricity Board by the Public noticed dated 26th May, 1980. The  terms and conditions under which the  Maharashtra State  Electricity Board supplied electrical energy were contained in the ""Conditions"" and Miscellaneous Charges for supply for Electrical Energy. Those conditions were the effective form 1st January 1976. It further appears the  respondents No. 1 framed  tariffs under  Section 49 of the Electricity (Supply) Act, 1948. Under clause  v (2) of the Tariff, ""Contract  Demand"" is defined as follows:-- 

 ""Contract Demand means the  maximum KW / KVA for the supply of which the  Board undertakes to   provided facilities from time to time."" 

 Under the  v(4) of the Tariff, ""Billing Demand"" is defined as follows:-- 

 ""Billing Demand"" means the demand used for  billing purposes and computed as the highest of the following:",Yes
9,force majeure,172129667,Jdl Lime Stone & Dolomite Mines vs State Of Odisha,4,0,4,0,2,0,"Section 8-A of the MMDR Act, it was recommended by the State


WP(C) No.11475 of 2023                                Page 9 of 26
  Government for extension of the lease period of the lessee up to
 20.02.2024, being 50 years from the date of the original lease.
 Accordingly, a supplementary lease deed came to be executed on
 30.03.2016 by the Collector, Sundargarh on behalf of the State of
 Odisha in favour of the lessee. Since the controversy raised in the
 present   proceeding    largely    revolves    around,     the     said
 supplementary lease deed, the contents of the same are being
 reproduced hereinbelow:

       ""WHEREAS the lessee/lessees has/have executed a
       mining lease deed on date 21/02/1974 in accordance
       with the Mineral Concession Rules, 1960 (hereinafter
       referred to as the said Rules), in respect of the land
       and described in Part 1 of the schedule of the said
       lease of Limestone & Dolomite Ore over an area of
       573.0536 hects, in village Dharuara, Lanjiberna,
       Kukuda, Bihabandh and Falsakani under Sadar Sub-
       Division of Sundargarh District, which has been
       registered vide original No.377 & duplicate No.378,
       Book No.I, Volume-10, Pages 47 to 143 in the office
       of District Sub-Registrar, Sundargarh on date
       11.03.1974 (hereinafter referred to as the said lease);
       AND, WHEREAS the period of the said lease deed was
       valid from 21.02.1974 to 20.02.1994.

       AND WHEREAS after expiry of the validity period of
       the said lease deed, the lessee had continued to
       conduct mining operations in the said lease under the
       deemed extension provisions of section 8 of the Mines
       and Minerals (Development and Regulations) Act,
       1957 (hereinafter referred as the MMDR Act) with the
       permission of the party of the First Part till date as per
       interim order dtd.11.02.2015 passed in Misc. Case
       No.18700 of 2014 arising out of W.P.(C) N",Yes
