,Query,DocID,Title,Snippets (mc),Snippets (mi),Expanded (mc),Expanded (mi),Classified (mc),Classified (mi),Sample Clause,Is Contract
0,Arbitration ,133653680,M/S Duro Felguera S.A vs M/S. Gangavaram Port Limi,13,0,13,0,9,0,"Any dispute in respect of which amicable settlement has not been reached within the period stated in Sub-Clause 20.5, shall be finally and conclusively settled by Arbitration under the Arbitration and Conciliation Act, 1996 by appointing two arbitrators one by each party and a presiding arbitrator to be appointed by the said arbitrators. Any such arbitration proceeding shall be within the exclusive jurisdiction of court of law at Hyderabad, India. The place of Arbitration shall be Hyderabad and the Language of Arbitration shall be English. The Contractor shall continue to attend to discharge all his obligations under the Contract during pendency of the Arbitration proceedings.",Yes
1,Arbitration ,81257869,Gurinder Singh Sethi vs M/S Sagar Fossil Fuel Tech,1,0,1,0,1,0,27. That a mutually agreed arbitrator shall be appointed in case of any dispute that may arise between both the parties in respect of this Agreement and this agreement is to be adjudicated within the Jurisdiction of Delhi Courts only.,Yes
2,Arbitration ,9193128,Pure Diets India Limited vs Lokmangal Agro Industr,2,0,2,0,0,0,"(a). Nilesh C. Sanghani and Others v. Rakesh V. Zangda and Others, 2007 SCC OnLine Bom 530;",No
3,Arbitration ,133653680,M/S Duro Felguera S.A vs M/S. Gangavaram Port Limi,13,0,13,0,9,0,"Any dispute in respect of which amicable settlement has not been reached within the period stated in Sub-Clause 20.5, shall be finally and conclusively settled by Arbitration under the Arbitration and Conciliation Act, 1996 by appointing two arbitrators one by each party and a presiding arbitrator to be appointed by the said arbitrators. Any such arbitration proceeding shall be within the exclusive jurisdiction of court of law at Hyderabad, India. The place of Arbitration shall be Hyderabad and the Language of Arbitration shall be English. The Contractor shall continue to attend to discharge all his obligations under the Contract during pendency of the Arbitration proceedings.",Yes
4,Privacy,12972852,My Space Inc. vs Super Cassettes Industries Ltd. o,1,0,1,0,1,0,"10.    Protecting Copyrights and Other Intellectual Property You may not use the Myspace Services in a manner that violates other's intellectual property rights. If you are an intellectual property owner that believes its rights are being infringed by a use of the Myspace Services, you can contact us. More",Yes
5,Privacy,69052901,Naresh Trehan vs Rakesh Kumar Gupta on 24 November,2,0,2,0,0,0,"8. Exemption from disclosure of information.-- (1) Notwithstanding anything contained in this Act, there shall be no obligation to give any citizen,",No
6,Privacy,80759470,Kamal Bhasin vs Radha Krishna Mathur & Anr. on 1 N,2,0,2,0,0,0,"12. We are in agreement with the CIC and the courts below that the details called for by the petitioner i.e. copies of all memos issued to the third respondent, show cause notices and orders of censure/punishment etc. are qualified to be personal information as defined in clause (j) of Section 8(1) of the RTI Act. The performance of an employee/officer in an organization is primarily a matter between the employee and the employer and normally those aspects are governed by the service rules which fall under the expression ""personal information"", the disclosure of which has no relationship to any public activity or public interest. On the other hand, the disclosure of which would cause unwarranted invasion of privacy of that individual. Of course, in a given case, if the Central Public Information Officer or the State Public Information Officer of the Appellate Authority is satisfied that the larger public interest justifies the disclosure of such information, appropriate orders could be passed but the petitioner cannot claim those details as a matter of right.",No
7,Privacy,70139862,"R.K.Jain vs Union Of India & Anr on 16 April, 2013",4,0,4,0,0,0,"The appellant filed  an  application  to  Central  Public  Information Officer (hereinafter referred to as the  ‘CPIO’)  under  Section  6  of  the Right to Information Act, 2005 (hereinafter referred to as  the  ‘RTI  Act’) on  7th  October,  2009  seeking  the  copies  of  all   note   sheets   and correspondence  pages  of  file  relating  to  one  Ms.  Jyoti  Balasundram, Member/CESTAT. The Under Secretary, who is the CPIO denied  the  information by impugned  letter  dated  15th  October,  2009  on  the  ground  that  the information sought  attracts Clause 8(1)(j) of the RTI Act,  which reads  as follows:-",No
8,force majeure,1716913,"Century Textiles And Industries Ltd., ... vs Mahar",8,0,8,0,6,0,"18. FAILURE TO SUPPLY: 
(a) (i) The Board shall take all reasonable precautions to ensure continuity of supply of power to the consumer but shall not be responsible for any loss to him or damage to his plant and equipment due to interruptions in supply of power due to damage to the Board's plant and equipment for reasons including but not limited to war, mutiny, riot, earthquake, cyclone tempest, strike, civil commotion, lock out, lightning, fire, flood, accident or break down of plant and machinery or causes beyond control of the Board. The Board shall give notice as early as possible of the probable duration of such interruptions in supply of power to consumer. 
 (ii) The Board reserves the right to curtail, stagger or cut off the supply of electricity altogether if the power position or any other emergency warrants such a course of action. 
 (iii) The Board shall always be entitled for reasons of testing or outages or maintenance or any other cause for efficient working of the undertaking to temporarily discontinue the supply for such periods as may be necessary subject always to adequate advance notice being given in this behalf, with the object of causing minimum inconvenience to the consumer. 
(b) Should at any time the Board's main service fuse or fuses fail, notice thereof should be sent to the next service station of the Board. Only authorized employees wearing the badge of the Board are permitted to replace these fuses in the Board's cut-outs. Consumers are not allowed to replace these fuses and they will render themselves liable to a heavy penalty if the Board's apparatus the consumers will be charged for the attendance of the fuse men in accordance with the Schedule of Service and Miscellaneous Charges for the time being in force.",Yes
9,force majeure,172129667,Jdl Lime Stone & Dolomite Mines vs State Of Odisha,4,0,4,0,2,0,"4. Failure on the part of the lessee to fulfil any of the terms and conditions of this lease shall not give the Central or State Government any claim against the lessee/lessees or be deemed a breach of this lease, in so far as such failure is considered by the said Government to arise from force majeure, and if through force majeure the fulfillment by the lessee of any of the terms and conditions of this lease be delayed, the period of such delay shall be added to the period fixed by this lease. In this clause the expression ""Force Majeure"" means Act of God, war, insurrection, riot, civil, commotion, strike, earthquake, tide storm, tidal wave, flood, lightening, explosion, fire, earthquake and any other happening which the lessee could not reasonably prevent or control.",Yes
